"Local time in Tallinn (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2022 07:00";"2.8";"748.6";"751.6";"-2.7";"91";"Wind blowing from the south-southeast";"6";"10";"12";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"2.6";"3.8";"";"70 – 80%.";"200-300";"";"";"35.0";"1.5";"No precipitation";"3";"";"";"";"";
"31.12.2022 06:00";"2.8";"749.9";"753.0";"-1.7";"91";"Wind blowing from the south-southeast";"5";"";"";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"2.7";"3.9";"";"90  or more, but not 100%";"2500 or more, or no clouds.";"";"";"35.0";"1.5";"No precipitation";"3";"";"";"";"";
"31.12.2022 05:00";"3.2";"750.8";"753.9";"-0.8";"92";"Wind blowing from the south";"4";"";"8";"70 – 80%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"2.9";"3.9";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"2.0";"No precipitation";"3";"";"";"";"";
"31.12.2022 04:00";"2.9";"751.3";"754.3";"-0.5";"94";"Wind blowing from the south";"4";"";"";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"2.9";"3.9";"";"90  or more, but not 100%";"600-1000";"";"";"35.0";"2.0";"No precipitation";"3";"";"";"";"";
"31.12.2022 03:00";"3.4";"751.6";"754.7";"0.3";"89";"Wind blowing from the south";"3";"";"";"100%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"3.1";"3.9";"";"100%.";"600-1000";"";"";"35.0";"1.8";"No precipitation";"3";"";"";"";"";
"31.12.2022 02:00";"3.2";"751.6";"754.7";"0.5";"92";"Wind blowing from the south";"3";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"3.1";"3.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"2.0";"No precipitation";"3";"";"";"";"";
"31.12.2022 01:00";"3.3";"751.8";"754.9";"1.0";"93";"Wind blowing from the south-southwest";"3";"";"";"100%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"3.1";"4.0";"";"100%.";"600-1000";"";"";"35.0";"2.2";"No precipitation";"3";"";"";"";"";
"31.12.2022 00:00";"3.2";"751.3";"754.5";"0.9";"94";"Wind blowing from the south-southwest";"3";"";"";"100%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"3.2";"4.1";"";"100%.";"600-1000";"";"";"35.0";"2.3";"No precipitation";"3";"";"";"";"";
"30.12.2022 23:00";"3.5";"751.1";"754.2";"1.0";"95";"Wind blowing from the south-southwest";"3";"";"";"100%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"3.4";"4.5";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"35.0";"2.7";"No precipitation";"3";"";"";"";"";
"30.12.2022 22:00";"3.5";"750.8";"753.9";"1.0";"96";"Wind blowing from the south-southwest";"2";"";"";"100%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"3.4";"4.5";"";"100%.";"100-200";"";"";"30.0";"2.9";"No precipitation";"3";"";"";"";"";
"30.12.2022 21:00";"3.5";"750.4";"753.4";"1.0";"98";"Wind blowing from the south-southwest";"3";"";"";"100%.";"Precipitation ";"No significant weather observed.";"No significant weather observed.";"3.5";"4.5";"";"100%.";"100-200";"";"";"23.0";"3.2";"No precipitation";"3";"";"";"";"";
"30.12.2022 20:00";"3.7";"750.1";"753.2";"1.2";"96";"Wind blowing from the south-southwest";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"3.5";"4.5";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"27.0";"3.1";"0.7";"12";"";"";"";"";
"30.12.2022 19:00";"3.6";"749.8";"752.8";"1.2";"97";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";"No significant weather observed. ";"Showers or intermittent precipitation.";"No significant weather observed.";"3.5";"4.5";"";"90  or more, but not 100%";"100-200";"";"";"23.0";"3.1";"0.1";"3";"";"";"";"";
"30.12.2022 18:00";"3.8";"749.4";"752.5";"1.4";"96";"Wind blowing from the south-southwest";"3";"";"";"100%.";"No significant weather observed. ";"Showers or intermittent precipitation.";"Drizzle.";"3.5";"4.5";"";"100%.";"100-200";"";"";"22.0";"3.2";"0.1";"3";"";"";"";"";
"30.12.2022 17:00";"3.6";"748.9";"752.0";"1.2";"97";"Wind blowing from the south-southwest";"2";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Drizzle.";"3.4";"4.5";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"20.0";"3.2";"0.1";"3";"";"";"";"";
"30.12.2022 16:00";"3.7";"748.6";"751.6";"1.0";"96";"Wind blowing from the south-southwest";"2";"";"";"100%.";"Drizzle, not freezing, slight. ";"Drizzle.";"No significant weather observed.";"2.9";"4.5";"";"100%.";"100-200";"";"";"25.0";"3.1";"No precipitation";"3";"";"";"";"";
"30.12.2022 15:00";"3.7";"748.0";"751.1";"0.7";"97";"Wind blowing from the south-southwest";"3";"";"";"100%.";"No significant weather observed. ";"Showers or intermittent precipitation.";"No significant weather observed.";"2.8";"4.5";"";"100%.";"100-200";"";"";"22.0";"3.2";"0.3";"3";"";"";"";"";
"30.12.2022 14:00";"3.9";"747.7";"750.8";"0.6";"95";"Wind blowing from the south-southwest";"3";"";"";"100%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"2.6";"4.5";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"100-200";"";"";"26.0";"3.2";"0.3";"3";"";"";"";"";
"30.12.2022 13:00";"3.9";"747.6";"750.6";"1.0";"97";"Wind blowing from the south-southwest";"3";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"Showers or intermittent precipitation.";"No significant weather observed.";"2.1";"4.5";"";"100%.";"100-200";"";"";"25.0";"3.4";"0.4";"3";"";"";"";"";
"30.12.2022 12:00";"4.1";"747.3";"750.4";"1.2";"97";"Wind blowing from the south-southwest";"3";"";"";"100%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"1.8";"4.5";"";"100%.";"100-200";"";"";"27.0";"3.6";"0.1";"3";"";"";"";"";
"30.12.2022 11:00";"4.4";"747.1";"750.2";"1.5";"97";"Wind blowing from the south-southwest";"3";"";"";"100%.";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"1.5";"4.5";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"100-200";"";"";"35.0";"3.9";"0.2";"3";"";"";"";"";
"30.12.2022 10:00";"4.4";"746.6";"749.7";"1.3";"97";"Wind blowing from the south-southwest";"3";"";"";"100%.";"No significant weather observed. ";"Showers or intermittent precipitation.";"No significant weather observed.";"1.4";"4.4";"";"100%.";"100-200";"";"";"29.0";"4.0";"0.4";"3";"";"";"";"";
"30.12.2022 09:00";"4.2";"746.1";"749.2";"0.8";"99";"Wind blowing from the south-southwest";"3";"";"";"100%.";"No significant weather observed. ";"Showers or intermittent precipitation.";"No significant weather observed.";"1.3";"4.3";"";"100%.";"50-100";"";"";"28.0";"4.0";"0.4";"3";"";"";"";"";
"30.12.2022 08:00";"4.0";"745.6";"748.6";"0.3";"98";"Wind blowing from the south-southwest";"3";"";"";"100%.";"Rain shower(s), slight. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"1.2";"4.1";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"50-100";"";"";"";"3.7";"4.0";"12";"";"";"Even layer of compact or wet snow covering ground completely.";"4.0";
"30.12.2022 07:00";"3.9";"745.3";"748.3";"0.0";"99";"Wind blowing from the south";"3";"";"";"100%.";"Drizzle, not freezing, slight. ";"Visibility reduced.";"Visibility reduced.";"0.9";"4.1";"";"100%.";"50-100";"";"";"12.0";"3.8";"No precipitation";"3";"";"";"";"";
"30.12.2022 06:00";"3.9";"745.3";"748.3";"-0.2";"100";"Wind blowing from the south";"3";"";"";"100%.";"Mist. ";"Visibility reduced.";"Visibility reduced.";"0.9";"4.0";"";"100%.";"Less than  50";"";"";"7.0";"3.9";"No precipitation";"3";"";"";"";"";
"30.12.2022 05:00";"3.4";"745.3";"748.4";"-0.2";"";"Wind blowing from the south";"3";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"0.9";"3.5";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"Less than  50";"";"";"3.3";"";"No precipitation";"3";"";"";"";"";
"30.12.2022 04:00";"2.9";"745.3";"748.4";"-0.2";"";"Wind blowing from the south";"3";"";"8";"100%.";"Mist. ";"Visibility reduced.";"Visibility reduced.";"0.8";"3.1";"";"100%.";"Less than  50";"";"";"2.4";"";"No precipitation";"3";"";"";"";"";
"30.12.2022 03:00";"2.8";"745.5";"748.5";"-0.1";"99";"Wind blowing from the south";"3";"";"8";"100%.";"Mist. ";"Visibility reduced.";"No significant weather observed.";"0.8";"2.9";"";"100%.";"50-100";"";"";"4.8";"2.7";"0.2";"3";"";"";"";"";
"30.12.2022 02:00";"2.6";"745.5";"748.6";"-0.7";"98";"Wind blowing from the south";"4";"";"11";"100%.";"Mist. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"0.7";"2.6";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"50-100";"";"";"7.0";"2.3";"1.0";"3";"";"";"";"";
"30.12.2022 01:00";"2.1";"745.5";"748.6";"-0.9";"98";"Wind blowing from the south";"4";"";"11";"100%.";"Rain (not freezing). ";"Rain.";"Rain.";"0.6";"2.2";"";"100%.";"100-200";"";"";"6.0";"1.8";"2.0";"3";"";"";"";"";
"30.12.2022 00:00";"1.8";"745.6";"748.7";"-1.4";"96";"Wind blowing from the south-southeast";"5";"";"11";"100%.";"Rain, not freezing, slight. ";"Showers or intermittent precipitation.";"Rain.";"0.5";"1.8";"";"100%.";"100-200";"";"";"35.0";"1.2";"2.0";"3";"";"";"";"";
"29.12.2022 23:00";"1.6";"746.2";"749.2";"-1.3";"97";"Wind blowing from the south-southeast";"5";"9";"11";"100%.";"Shower(s) of rain and snow mixed, slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"0.5";"1.6";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"100-200";"";"";"22.0";"1.1";"1.0";"3";"";"";"";"";
"29.12.2022 22:00";"1.5";"746.4";"749.5";"-1.7";"97";"Wind blowing from the south-southeast";"6";"11";"11";"100%.";"Rain shower(s) or intermittent rain, slight. ";"Showers or intermittent precipitation.";"Rain.";"0.4";"1.5";"";"100%.";"100-200";"";"";"35.0";"1.0";"1.0";"3";"";"";"";"";
"29.12.2022 21:00";"1.3";"747.0";"750.1";"-1.6";"97";"Wind blowing from the south-southeast";"6";"9";"10";"100%.";"Rain, not freezing, slight. ";"Rain.";"Rain.";"0.3";"1.4";"";"100%.";"100-200";"";"";"29.0";"0.8";"1.0";"3";"";"";"";"";
"29.12.2022 20:00";"1.2";"747.5";"750.6";"-1.7";"94";"Wind blowing from the south-east";"6";"9";"10";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"0.3";"1.2";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"100-200";"";"";"35.0";"0.4";"1.0";"12";"";"";"";"";
"29.12.2022 19:00";"0.9";"748.1";"751.3";"-1.4";"97";"Wind blowing from the south-southeast";"5";"";"9";"100%.";"Rain (or drizzle) and snow, slight. ";"Showers or intermittent precipitation.";"Rain.";"0.2";"1.2";"";"100%.";"100-200";"";"";"21.0";"0.4";"0.7";"3";"";"";"";"";
"29.12.2022 18:00";"1.2";"748.6";"751.7";"-1.2";"96";"Wind blowing from the south-southeast";"6";"9";"9";"100%.";"Rain shower(s) or intermittent rain, slight. ";"Showers or intermittent precipitation.";"Drizzle.";"0.2";"1.2";"";"100%.";"100-200";"";"";"27.0";"0.6";"0.2";"3";"";"";"";"";
"29.12.2022 17:00";"0.9";"749.2";"752.2";"-1.1";"98";"Wind blowing from the south-southeast";"5";"";"9";"100%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"0.2";"1.0";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"50-100";"";"";"19.0";"0.6";"No precipitation";"3";"";"";"";"";
"29.12.2022 16:00";"0.9";"749.5";"752.6";"-1.3";"97";"Wind blowing from the south-east";"5";"";"9";"100%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"0.2";"0.9";"";"100%.";"50-100";"";"";"16.0";"0.4";"No precipitation";"3";"";"";"";"";
"29.12.2022 15:00";"0.8";"749.8";"752.9";"-1.2";"97";"Wind blowing from the south-east";"5";"9";"9";"100%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"0.1";"0.8";"";"100%.";"50-100";"";"";"14.0";"0.4";"No precipitation";"3";"";"";"";"";
"29.12.2022 14:00";"0.7";"750.3";"753.4";"-1.0";"97";"Wind blowing from the south-southeast";"5";"";"";"100%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-0.1";"0.7";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"50-100";"";"";"14.0";"0.2";"No precipitation";"3";"";"";"";"";
"29.12.2022 13:00";"0.6";"750.8";"753.9";"-0.8";"96";"Wind blowing from the south-southeast";"4";"";"";"100%.";"No significant weather observed. ";"Showers or intermittent precipitation.";"No significant weather observed.";"-0.4";"0.6";"";"100%.";"100-200";"";"";"23.0";"0.0";"No precipitation";"3";"";"";"";"";
"29.12.2022 12:00";"0.5";"751.0";"754.1";"-0.7";"96";"Wind blowing from the south-east";"4";"";"9";"100%.";"No significant weather observed. ";"Showers or intermittent precipitation.";"No significant weather observed.";"-0.5";"0.6";"";"100%.";"100-200";"";"";"28.0";"-0.1";"No precipitation";"3";"";"";"";"";
"29.12.2022 11:00";"0.5";"751.3";"754.4";"-0.5";"95";"Wind blowing from the south-southeast";"5";"";"9";"100%.";"Shower(s) of snow, or of rain and snow. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-0.8";"0.5";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"23.0";"-0.2";"No precipitation";"3";"";"";"";"";
"29.12.2022 10:00";"0.4";"751.6";"754.8";"-0.3";"96";"Wind blowing from the south-east";"5";"";"9";"100%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"-1.4";"0.4";"";"100%.";"100-200";"";"";"28.0";"-0.2";"No precipitation";"3";"";"";"";"";
"29.12.2022 09:00";"0.3";"751.7";"754.9";"-0.4";"96";"Wind blowing from the south-southeast";"5";"";"9";"100%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"-1.6";"0.3";"";"100%.";"100-200";"";"";"22.0";"-0.2";"No precipitation";"3";"";"";"";"";
"29.12.2022 08:00";"0.3";"751.8";"754.9";"-0.5";"97";"Wind blowing from the south-southeast";"4";"9";"9";"100%.";"State of sky on the whole unchanged. ";"Shower(s).";"Rain and snow or other types of solid precipitation";"-1.9";"0.3";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"22.0";"-0.1";"0.7";"12";"";"";"Even layer of compact or wet snow covering ground completely.";"6.0";
"29.12.2022 07:00";"0.2";"751.9";"755.0";"-0.6";"98";"Wind blowing from the south-east";"4";"";"";"100%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"-2.2";"0.3";"";"100%.";"100-200";"";"";"17.0";"-0.1";"No precipitation";"3";"";"";"";"";
"29.12.2022 06:00";"0.2";"752.1";"755.2";"-0.5";"98";"Wind blowing from the south-east";"4";"";"";"100%.";"No significant weather observed. ";"Rain.";"No significant weather observed.";"-2.9";"0.3";"";"100%.";"50-100";"";"";"17.0";"-0.1";"0.1";"3";"";"";"";"";
"29.12.2022 05:00";"0.2";"752.3";"755.5";"-0.4";"97";"Wind blowing from the east-southeast";"3";"";"";"100%.";"Snow not falling as shower(s). ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.9";"0.3";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"50-100";"";"";"15.0";"-0.2";"0.1";"3";"";"";"";"";
"29.12.2022 04:00";"0.2";"752.5";"755.5";"-0.3";"98";"Wind blowing from the south-east";"3";"";"";"100%.";"Rain (or drizzle) and snow, slight. ";"Snow or ice pellets.";"Rain.";"-2.9";"0.3";"";"100%.";"100-200";"";"";"16.0";"-0.1";"0.3";"3";"";"";"";"";
"29.12.2022 03:00";"0.1";"752.6";"755.7";"-0.5";"99";"Wind blowing from the south-east";"3";"";"";"100%.";"No significant weather observed. ";"Snow or ice pellets.";"Rain.";"-2.9";"0.1";"";"100%.";"50-100";"";"";"20.0";"-0.1";"0.5";"3";"";"";"";"";
"29.12.2022 02:00";"-0.1";"752.7";"755.8";"-0.5";"99";"Wind blowing from the south-east";"3";"";"";"100%.";"Shower(s) of snow, or of rain and snow. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.9";"0.5";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"35.0";"-0.3";"0.6";"3";"";"";"";"";
"29.12.2022 01:00";"-0.4";"752.8";"755.9";"-0.4";"99";"Wind blowing from the south-east";"3";"";"";"100%.";"Snow, slight. ";"Rain.";"Visibility reduced.";"-2.9";"0.8";"";"100%.";"50-100";"";"";"7.0";"-0.5";"0.4";"3";"";"";"";"";
"29.12.2022 00:00";"-0.4";"753.1";"756.1";"-0.2";"99";"Wind blowing from the south-east";"3";"";"";"100%.";"Rain (or drizzle) and snow, slight. ";"Rain.";"Visibility reduced.";"-2.9";"0.8";"";"100%.";"50-100";"";"";"8.0";"-0.5";"0.1";"3";"";"";"";"";
"28.12.2022 23:00";"-0.8";"753.2";"756.4";"-0.1";"99";"Wind blowing from the south-southeast";"3";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.9";"0.8";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"50-100";"";"";"1.1";"-0.9";"No precipitation";"3";"";"";"";"";
"28.12.2022 22:00";"-1.4";"753.2";"756.4";"-0.2";"98";"Wind blowing from the south-southeast";"2";"";"";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"-2.9";"0.8";"";"70 – 80%.";"50-100";"";"";"13.0";"-1.7";"No precipitation";"3";"";"";"";"";
"28.12.2022 21:00";"-1.5";"753.3";"756.4";"-0.1";"94";"Wind blowing from the south-southeast";"2";"";"";"100%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"-2.9";"0.8";"";"";"2500 or more, or no clouds.";"";"";"35.0";"-2.3";"No precipitation";"3";"";"";"";"";
"28.12.2022 20:00";"-1.8";"753.3";"756.4";"-0.1";"92";"Wind blowing from the south";"2";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"-2.9";"0.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"-2.9";"No precipitation";"12";"";"";"";"";
"28.12.2022 19:00";"-2.2";"753.4";"756.6";"0.0";"93";"Wind blowing from the south-southeast";"2";"";"";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"-2.9";"0.8";"";"";"2500 or more, or no clouds.";"";"";"35.0";"-3.2";"No precipitation";"3";"";"";"";"";
"28.12.2022 18:00";"-2.8";"753.4";"756.6";"0.0";"95";"Wind blowing from the south";"2";"";"";"no clouds";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"-2.9";"0.8";"";"";"";"";"";"35.0";"-3.5";"No precipitation";"3";"";"";"";"";
